community_size,internal_weight_sum,internal_density,formation_speed,isolation_degree,member_stability,avg_internal_degree,internal_edge_weight_var,snapshot_id,community_id,target,known_fake_ratio,labeled_coverage
23,10.0,0.039525691699604744,0,0.9545454545454546,0.0,0.8695652173913043,0.0,0,0,0,0.4444444444444444,0.391304347826087
19,6.0,0.03508771929824561,0,0.9634146341463414,0.0,0.631578947368421,0.0,0,4,1,0.6,0.2631578947368421
15,5.0,0.047619047619047616,0,0.9629629629629629,0.0,0.6666666666666666,0.0,0,8,1,0.42857142857142855,0.4666666666666667
15,5.0,0.047619047619047616,0,0.965034965034965,0.0,0.6666666666666666,0.0,0,7,0,0.3333333333333333,0.4
27,16.0,0.045584045584045586,0,0.9344262295081968,0.0,1.1851851851851851,0.0,0,6,1,0.46153846153846156,0.48148148148148145
18,3.0,0.0196078431372549,0,0.9814814814814815,0.0,0.3333333333333333,0.0,0,9,1,0.6666666666666666,0.3333333333333333
20,14.0,0.07368421052631578,0,0.9251336898395722,0.0,1.4,0.0,0,3,0,0.25,0.4
29,13.0,0.03201970443349754,0,0.9462809917355371,0.0,0.896551724137931,0.0,0,2,1,0.1111111111111111,0.3103448275862069
18,8.0,0.05228758169934641,0,0.9558011049723757,0.0,0.8888888888888888,0.0,0,5,0,0.2857142857142857,0.3888888888888889
16,5.0,0.041666666666666664,0,0.9629629629629629,0.0,0.625,0.0,0,1,1,0.5714285714285714,0.4375
19,7.0,0.04093567251461988,0,0.9625668449197861,0.029411764705882353,0.7368421052631579,0.0,1,1,0,0.0,0.3684210526315789
22,15.0,0.06493506493506493,0,0.9315068493150684,0.020833333333333332,1.3636363636363635,0.0,1,6,1,0.625,0.36363636363636365
18,6.0,0.0392156862745098,0,0.9657142857142857,0.06451612903225806,0.6666666666666666,0.0,1,7,1,0.42857142857142855,0.3888888888888889
16,8.0,0.06666666666666667,0,0.9520958083832335,0.0625,1.0,0.0,1,5,1,0.5,0.5
19,6.0,0.03508771929824561,0,0.967741935483871,0.07692307692307693,0.631578947368421,0.0,1,0,0,0.2857142857142857,0.3684210526315789
22,15.0,0.06493506493506493,0,0.9318181818181818,0.10526315789473684,1.3636363636363635,0.0,1,3,1,0.14285714285714285,0.3181818181818182
19,10.0,0.05847953216374269,0,0.9415204678362573,0.11627906976744186,1.0526315789473684,0.0,1,2,1,0.375,0.42105263157894735
16,8.0,0.06666666666666667,0,0.9473684210526315,0.12903225806451613,1.0,0.0,1,4,1,1.0,0.3125
28,18.0,0.047619047619047616,0,0.9234042553191489,0.023809523809523808,1.2857142857142858,0.0,1,8,1,0.3333333333333333,0.42857142857142855
21,8.0,0.0380952380952381,0,0.9585492227979274,0.05405405405405406,0.7619047619047619,0.0,1,9,1,0.5,0.38095238095238093
21,12.0,0.05714285714285714,2,0.9322033898305084,0.04878048780487805,1.1428571428571428,0.0,2,3,0,0.38461538461538464,0.6190476190476191
22,11.0,0.047619047619047616,2,0.9511111111111111,0.1282051282051282,1.0,0.0,2,6,1,0.4,0.45454545454545453
23,8.0,0.03162055335968379,2,0.9605911330049262,0.10810810810810811,0.6956521739130435,0.0,2,7,1,0.5,0.2608695652173913
31,24.0,0.05161290322580645,2,0.9151943462897526,0.11320754716981132,1.5483870967741935,0.0,2,8,1,0.36363636363636365,0.3548387096774194
21,14.0,0.06666666666666667,2,0.9263157894736842,0.027777777777777776,1.3333333333333333,0.0,2,5,0,0.125,0.38095238095238093
25,20.0,0.06666666666666667,2,0.92,0.07894736842105263,1.6,0.0,2,4,1,0.375,0.32
12,4.0,0.06060606060606061,2,0.9663865546218487,0.03333333333333333,0.6666666666666666,0.0,2,2,1,0.5,0.3333333333333333
14,10.0,0.10989010989010989,2,0.9328859060402684,0.09375,1.4285714285714286,0.0,2,9,1,0.8,0.35714285714285715
20,13.0,0.06842105263157895,2,0.937799043062201,0.05405405405405406,1.3,0.0,2,0,0,0.4,0.5
11,5.0,0.09090909090909091,2,0.9545454545454546,0.0,0.9090909090909091,0.0,2,1,1,0.5,0.18181818181818182
17,5.0,0.03676470588235294,3,0.9668874172185431,0.06896551724137931,0.5882352941176471,0.0,3,9,1,0.5,0.47058823529411764
24,19.0,0.06884057971014493,2,0.919831223628692,0.07317073170731707,1.5833333333333333,0.0,3,0,1,0.45454545454545453,0.4583333333333333
14,5.0,0.054945054945054944,3,0.967741935483871,0.08333333333333333,0.7142857142857143,0.0,3,2,1,0.75,0.2857142857142857
17,6.0,0.04411764705882353,3,0.9625,0.024390243902439025,0.7058823529411765,0.0,3,4,1,0.6,0.29411764705882354
24,11.0,0.03985507246376811,3,0.9508928571428571,0.11904761904761904,0.9166666666666666,0.0,3,7,1,0.7142857142857143,0.2916666666666667
21,9.0,0.04285714285714286,3,0.95,0.05,0.8571428571428571,0.0,3,5,0,0.125,0.38095238095238093
23,12.0,0.04743083003952569,2,0.9452054794520548,0.0,1.0434782608695652,0.0,3,6,1,0.3333333333333333,0.391304347826087
15,4.0,0.0380952380952381,3,0.9682539682539683,0.04,0.5333333333333333,0.0,3,1,1,0.375,0.5333333333333333
24,9.0,0.03260869565217391,3,0.9565217391304348,0.0784313725490196,0.75,0.0,3,8,0,0.25,0.3333333333333333
21,12.0,0.05714285714285714,2,0.9390862944162437,0.024390243902439025,1.1428571428571428,0.0,3,3,0,0.2222222222222222,0.42857142857142855
31,14.0,0.030107526881720432,3,0.9517241379310345,0.04,0.9032258064516129,0.0,4,5,1,0.36363636363636365,0.3548387096774194
21,16.0,0.0761904761904762,2,0.9135135135135135,0.1,1.5238095238095237,0.0,4,6,1,0.5,0.2857142857142857
18,7.0,0.0457516339869281,4,0.9588235294117647,0.09375,0.7777777777777778,0.0,4,9,0,0.14285714285714285,0.3888888888888889
25,21.0,0.07,4,0.9098712446351931,0.02564102564102564,1.68,0.0,4,1,0,0.2,0.2
20,13.0,0.06842105263157895,4,0.9293478260869565,0.027777777777777776,1.3,0.0,4,4,0,0.3333333333333333,0.45
18,3.0,0.0196078431372549,4,0.9826589595375722,0.0,0.3333333333333333,0.0,4,2,1,1.0,0.5
13,4.0,0.05128205128205128,4,0.9666666666666667,0.027777777777777776,0.6153846153846154,0.0,4,8,1,0.5,0.3076923076923077
18,7.0,0.0457516339869281,3,0.9611111111111111,0.024390243902439025,0.7777777777777778,0.0,4,7,0,0.16666666666666666,0.3333333333333333
17,6.0,0.04411764705882353,2,0.959731543624161,0.025,0.7058823529411765,0.0,4,0,0,0.375,0.47058823529411764
19,3.0,0.017543859649122806,2,0.9823529411764705,0.02564102564102564,0.3157894736842105,0.0,4,3,1,0.3333333333333333,0.631578947368421
31,31.0,0.06666666666666667,3,0.8970099667774086,0.08771929824561403,2.0,0.0,5,5,1,0.6666666666666666,0.2903225806451613
21,11.0,0.05238095238095238,4,0.9382022471910112,0.02631578947368421,1.0476190476190477,0.0,5,9,1,0.5,0.47619047619047616
17,4.0,0.029411764705882353,3,0.972027972027972,0.029411764705882353,0.47058823529411764,0.0,5,7,1,0.42857142857142855,0.4117647058823529
27,10.0,0.02849002849002849,2,0.9514563106796117,0.023255813953488372,0.7407407407407407,0.0,5,0,0,0.25,0.4444444444444444
10,1.0,0.022222222222222223,5,0.9887640449438202,0.0,0.2,0.0,5,4,1,0.6666666666666666,0.3
19,8.0,0.04678362573099415,5,0.9548022598870056,0.08823529411764706,0.8421052631578947,0.0,5,2,1,0.14285714285714285,0.3684210526315789
31,25.0,0.053763440860215055,2,0.9125874125874126,0.13043478260869565,1.6129032258064515,0.0,5,6,0,0.3,0.3225806451612903
17,10.0,0.07352941176470588,5,0.9386503067484663,0.07142857142857142,1.1764705882352942,0.0,5,8,1,0.25,0.47058823529411764
15,5.0,0.047619047619047616,5,0.96875,0.02564102564102564,0.6666666666666666,0.0,5,1,0,0.42857142857142855,0.4666666666666667
12,6.0,0.09090909090909091,2,0.95,0.0,1.0,0.0,5,3,1,0.75,0.3333333333333333
19,7.0,0.04093567251461988,2,0.9615384615384616,0.041666666666666664,0.7368421052631579,0.0,6,6,1,0.42857142857142855,0.3684210526315789
18,5.0,0.032679738562091505,6,0.9710982658959537,0.03125,0.5555555555555556,0.0,6,1,1,0.5555555555555556,0.5
16,9.0,0.075,6,0.94375,0.08333333333333333,1.125,0.0,6,4,1,0.42857142857142855,0.4375
17,5.0,0.03676470588235294,2,0.9696969696969697,0.047619047619047616,0.5882352941176471,0.0,6,0,1,0.5,0.11764705882352941
20,7.0,0.03684210526315789,3,0.9651741293532339,0.10869565217391304,0.7,0.0,6,5,1,0.6666666666666666,0.3
19,4.0,0.023391812865497075,2,0.9763313609467456,0.03333333333333333,0.42105263157894735,0.0,6,3,0,0.14285714285714285,0.3684210526315789
22,17.0,0.0735930735930736,4,0.9244444444444444,0.04878048780487805,1.5454545454545454,0.0,6,9,0,0.0,0.4090909090909091
16,4.0,0.03333333333333333,3,0.9722222222222222,0.06451612903225806,0.5,0.0,6,7,1,0.3333333333333333,0.375
29,25.0,0.06157635467980296,5,0.9161073825503355,0.043478260869565216,1.7241379310344827,0.0,6,2,1,0.5882352941176471,0.5862068965517241
24,14.0,0.050724637681159424,6,0.9313725490196079,0.07894736842105263,1.1666666666666667,0.0,6,8,0,0.2857142857142857,0.2916666666666667
20,4.0,0.021052631578947368,7,0.9789473684210527,0.02857142857142857,0.4,0.0,7,4,0,0.5714285714285714,0.35
14,5.0,0.054945054945054944,3,0.9668874172185431,0.1111111111111111,0.7142857142857143,0.0,7,7,1,0.0,0.14285714285714285
25,13.0,0.043333333333333335,4,0.9467213114754098,0.06818181818181818,1.04,0.0,7,9,1,0.3333333333333333,0.24
15,3.0,0.02857142857142857,3,0.9797297297297297,0.0,0.4,0.0,7,5,0,0.16666666666666666,0.4
19,6.0,0.03508771929824561,2,0.9655172413793104,0.05555555555555555,0.631578947368421,0.0,7,6,1,0.6,0.5263157894736842
15,6.0,0.05714285714285714,7,0.9605263157894737,0.03125,0.8,0.0,7,1,1,0.375,0.5333333333333333
18,8.0,0.05228758169934641,2,0.9545454545454546,0.0,0.8888888888888888,0.0,7,3,1,0.16666666666666666,0.3333333333333333
33,28.0,0.05303030303030303,2,0.9057239057239057,0.08695652173913043,1.696969696969697,0.0,7,0,1,0.5,0.42424242424242425
18,8.0,0.05228758169934641,5,0.9558011049723757,0.044444444444444446,0.8888888888888888,0.0,7,2,1,0.75,0.2222222222222222
23,8.0,0.03162055335968379,7,0.9591836734693877,0.021739130434782608,0.6956521739130435,0.0,7,8,1,0.2857142857142857,0.6086956521739131
18,9.0,0.058823529411764705,2,0.9497206703910615,0.02857142857142857,1.0,0.0,8,3,1,0.4,0.5555555555555556
21,12.0,0.05714285714285714,7,0.9365079365079365,0.023255813953488372,1.1428571428571428,0.0,8,8,1,0.25,0.38095238095238093
15,7.0,0.06666666666666667,8,0.9615384615384616,0.09375,0.9333333333333333,0.0,8,4,0,0.2,0.6666666666666666
21,9.0,0.04285714285714286,5,0.9560975609756097,0.05405405405405406,0.8571428571428571,0.0,8,2,0,0.3333333333333333,0.2857142857142857
21,13.0,0.06190476190476191,2,0.9386792452830188,0.02564102564102564,1.2380952380952381,0.0,8,6,0,0.3333333333333333,0.2857142857142857
25,12.0,0.04,3,0.9459459459459459,0.17647058823529413,0.96,0.0,8,5,1,0.375,0.32
26,22.0,0.06769230769230769,8,0.9133858267716536,0.025,1.6923076923076923,0.0,8,1,1,0.6,0.38461538461538464
15,3.0,0.02857142857142857,2,0.9805194805194806,0.043478260869565216,0.4,0.0,8,0,0,0.6666666666666666,0.2
22,9.0,0.03896103896103896,3,0.9554455445544554,0.02857142857142857,0.8181818181818182,0.0,8,7,1,0.4444444444444444,0.4090909090909091
16,3.0,0.025,4,0.9814814814814815,0.0,0.375,0.0,8,9,1,0.5714285714285714,0.4375
16,5.0,0.041666666666666664,2,0.967741935483871,0.12121212121212122,0.625,0.0,9,6,0,0.14285714285714285,0.4375
23,14.0,0.05533596837944664,3,0.933649289099526,0.09090909090909091,1.2173913043478262,0.0,9,5,1,0.25,0.34782608695652173
23,8.0,0.03162055335968379,3,0.96,0.046511627906976744,0.6956521739130435,0.0,9,7,1,0.5,0.43478260869565216
16,3.0,0.025,9,0.9790209790209791,0.03333333333333333,0.375,0.0,9,4,1,0.8,0.3125
27,11.0,0.03133903133903134,9,0.9549180327868853,0.08163265306122448,0.8148148148148148,0.0,9,1,1,0.6153846153846154,0.48148148148148145
15,6.0,0.05714285714285714,4,0.9617834394904459,0.06896551724137931,0.8,0.0,9,9,1,0.42857142857142855,0.4666666666666667
17,7.0,0.051470588235294115,5,0.952054794520548,0.0,0.8235294117647058,0.0,9,2,1,0.2,0.29411764705882354
23,14.0,0.05533596837944664,2,0.9357798165137615,0.08571428571428572,1.2173913043478262,0.0,9,0,0,0.0,0.391304347826087
21,7.0,0.03333333333333333,2,0.9602272727272727,0.02631578947368421,0.6666666666666666,0.0,9,3,1,0.6666666666666666,0.42857142857142855
19,13.0,0.07602339181286549,7,0.9285714285714286,0.0,1.368421052631579,0.0,9,8,0,0.25,0.21052631578947367
